type,quantity_fp,market_ticker,side,entry_price_dollars,exit_price_dollars,open_fees_dollars,close_fees_dollars,realized_pnl_without_fees_dollars,realized_pnl_with_fees_dollars,close_timestamp,open_timestamp
trade,8.00,KXTEMPAUSH-26JUL2021-T91.99,yes,0.8600,0.7500,0.000000,0.105000,-0.880000,-0.985000,2026-07-20T20:34:15-04:00,2026-07-20T20:15:34-04:00
trade,8.00,KXTEMPAUSH-26JUL2021-T91.99,yes,0.8600,0.7500,0.000000,0.105000,-0.880000,-0.985000,2026-07-20T20:34:15-04:00,2026-07-20T20:28:23-04:00
trade,13.00,KXTEMPAUSH-26JUL2021-T94.99,yes,0.1300,0.0200,0.000000,0.017900,-1.430000,-1.447900,2026-07-20T20:34:17-04:00,2026-07-20T20:13:23-04:00
trade,7.00,KXTEMPAUSH-26JUL2021-T94.99,yes,0.1300,0.0200,0.000000,0.009618,-0.770000,-0.779618,2026-07-20T20:34:17-04:00,2026-07-20T20:13:23-04:00
trade,20.00,KXTEMPAUSH-26JUL2021-T94.99,yes,0.1100,0.0200,0.000000,0.027481,-1.800000,-1.827481,2026-07-20T20:34:17-04:00,2026-07-20T20:17:22-04:00
trade,1.00,KXTEMPCHIH-26JUL2021-T76.99,no,0.1200,0.0300,0.000000,0.002100,-0.090000,-0.092100,2026-07-20T20:34:19-04:00,2026-07-20T20:23:08-04:00
trade,11.00,KXTEMPCHIH-26JUL2021-T76.99,no,0.1200,0.0300,0.000000,0.022500,-0.990000,-1.012500,2026-07-20T20:34:19-04:00,2026-07-20T20:23:08-04:00
trade,1.00,KXTEMPCHIH-26JUL2021-T76.99,no,0.1200,0.0200,0.000000,0.001400,-0.100000,-0.101400,2026-07-20T20:34:19-04:00,2026-07-20T20:23:08-04:00
trade,4.00,KXTEMPCHIH-26JUL2021-T76.99,no,0.1200,0.0200,0.000000,0.005500,-0.400000,-0.405500,2026-07-20T20:34:20-04:00,2026-07-20T20:23:08-04:00
trade,3.00,KXTEMPCHIH-26JUL2021-T76.99,no,0.1200,0.0100,0.000000,0.002100,-0.330000,-0.332100,2026-07-20T20:34:21-04:00,2026-07-20T20:23:08-04:00
trade,12.00,KXTEMPLAXH-26JUL2021-T75.99,yes,0.6200,0.4400,0.000000,0.207000,-2.160000,-2.367000,2026-07-20T20:36:09-04:00,2026-07-20T20:35:28-04:00
trade,6.01,KXTEMPAUSH-26JUL2021-T92.99,yes,0.6700,0.3000,0.000000,0.088400,-2.223700,-2.312100,2026-07-20T20:36:11-04:00,2026-07-20T20:35:15-04:00
trade,4.99,KXTEMPAUSH-26JUL2021-T92.99,yes,0.6700,0.3000,0.000000,0.073400,-1.846300,-1.919700,2026-07-20T20:36:11-04:00,2026-07-20T20:35:15-04:00
trade,11.82,KXTEMPAUSH-26JUL2021-T93.99,yes,0.0600,0.0600,0.000000,0.046700,0.000000,-0.046700,2026-07-20T20:36:13-04:00,2026-07-20T20:34:53-04:00
trade,5.00,KXTEMPAUSH-26JUL2021-T93.99,yes,0.0600,0.0600,0.000000,0.019800,0.000000,-0.019800,2026-07-20T20:36:13-04:00,2026-07-20T20:34:53-04:00
trade,3.18,KXTEMPAUSH-26JUL2021-T93.99,yes,0.0600,0.0600,0.000000,0.012600,0.000000,-0.012600,2026-07-20T20:36:13-04:00,2026-07-20T20:34:53-04:00
trade,1.00,KXTEMPDCH-26JUL2021-T78.99,no,0.2500,0.0400,0.000000,0.002700,-0.210000,-0.212700,2026-07-20T20:38:04-04:00,2026-07-20T20:37:16-04:00
trade,4.00,KXTEMPDCH-26JUL2021-T78.99,no,0.2500,0.0300,0.000000,0.008181,-0.880000,-0.888181,2026-07-20T20:38:05-04:00,2026-07-20T20:37:16-04:00
trade,7.00,KXTEMPDCH-26JUL2021-T78.99,no,0.2500,0.0300,0.000000,0.014318,-1.540000,-1.554318,2026-07-20T20:38:05-04:00,2026-07-20T20:37:24-04:00
trade,8.00,KXTEMPDCH-26JUL2021-T78.99,no,0.2500,0.0300,0.000000,0.016300,-1.760000,-1.776300,2026-07-20T20:38:05-04:00,2026-07-20T20:37:24-04:00
trade,1.00,KXTEMPDCH-26JUL2021-T79.99,no,0.2900,0.0300,0.000000,0.002100,-0.260000,-0.262100,2026-07-20T20:38:07-04:00,2026-07-20T20:37:24-04:00
trade,19.00,KXTEMPDCH-26JUL2021-T79.99,no,0.2900,0.0200,0.000000,0.026100,-5.130000,-5.156100,2026-07-20T20:38:07-04:00,2026-07-20T20:37:24-04:00
trade,0.04,KXTEMPDCH-26JUL2021-T80.99,no,0.2900,0.1900,0.000000,0.000500,-0.004000,-0.004500,2026-07-20T20:38:09-04:00,2026-07-20T20:37:50-04:00
trade,1.00,KXTEMPDCH-26JUL2021-T80.99,no,0.2900,0.1900,0.000000,0.010800,-0.100000,-0.110800,2026-07-20T20:38:09-04:00,2026-07-20T20:37:50-04:00
trade,1.00,KXTEMPDCH-26JUL2021-T80.99,no,0.2900,0.1100,0.000000,0.006900,-0.180000,-0.186900,2026-07-20T20:38:10-04:00,2026-07-20T20:37:50-04:00
trade,1.27,KXTEMPDCH-26JUL2021-T80.99,no,0.2900,0.0900,0.000000,0.007300,-0.254000,-0.261300,2026-07-20T20:38:10-04:00,2026-07-20T20:37:50-04:00
trade,2.00,KXTEMPDCH-26JUL2021-T80.99,no,0.2900,0.0300,0.000000,0.004100,-0.520000,-0.524100,2026-07-20T20:38:11-04:00,2026-07-20T20:37:50-04:00
trade,14.69,KXTEMPDCH-26JUL2021-T80.99,no,0.2900,0.0300,0.000000,0.029967,-3.819400,-3.849367,2026-07-20T20:38:11-04:00,2026-07-20T20:37:50-04:00
trade,4.00,KXTEMPCHIH-26JUL2021-T77.99,yes,0.8700,0.8300,0.000000,0.039600,-0.160000,-0.199600,2026-07-20T20:38:12-04:00,2026-07-20T20:37:28-04:00
trade,4.00,KXTEMPCHIH-26JUL2021-T77.99,yes,0.8700,0.8300,0.000000,0.039600,-0.160000,-0.199600,2026-07-20T20:38:12-04:00,2026-07-20T20:37:28-04:00
trade,4.00,KXTEMPAUSH-26JUL2021-T90.99,yes,0.8600,0.8600,0.000000,0.033800,0.000000,-0.033800,2026-07-20T20:38:14-04:00,2026-07-20T20:37:05-04:00
trade,4.00,KXTEMPAUSH-26JUL2021-T90.99,yes,0.8600,0.8600,0.000000,0.033800,0.000000,-0.033800,2026-07-20T20:38:14-04:00,2026-07-20T20:37:05-04:00
trade,5.00,KXTEMPLAXH-26JUL2021-T74.99,no,0.0900,0.0900,0.000000,0.028700,0.000000,-0.028700,2026-07-20T20:38:16-04:00,2026-07-20T20:36:22-04:00
trade,4.00,KXTEMPLAXH-26JUL2021-T74.99,no,0.0900,0.0900,0.000000,0.023000,0.000000,-0.023000,2026-07-20T20:38:16-04:00,2026-07-20T20:36:22-04:00
trade,5.00,KXTEMPLAXH-26JUL2021-T74.99,no,0.0900,0.0900,0.000000,0.028700,0.000000,-0.028700,2026-07-20T20:38:16-04:00,2026-07-20T20:36:22-04:00
trade,13.00,KXAAAGASD-26JUL21-4.010,no,0.0800,0.0400,0.000000,0.035000,-0.520000,-0.555000,2026-07-20T20:38:17-04:00,2026-07-20T15:44:30-04:00
trade,1.00,KXTEMPLAXH-26JUL2021-T74.99,no,0.0900,0.0000,0.000000,0.000000,-0.090000,-0.090000,2026-07-20T22:31:00-04:00,2026-07-20T20:36:22-04:00
trade,0.31,KXTEMPDCH-26JUL2021-T80.99,yes,0.9700,1.0000,0.000632,0.000000,0.009300,0.008667,2026-07-20T22:31:00-04:00,2026-07-20T20:38:11-04:00
trade,0.82,KXTEMPAUSH-26JUL2021-T89.99,no,0.1400,0.0000,0.000000,0.000000,-0.114800,-0.114800,2026-07-20T22:31:00-04:00,2026-07-20T20:15:11-04:00
trade,0.29,KXAAAGASD-26JUL21-4.020,no,0.2900,1.0000,0.000000,0.000000,0.205900,0.205900,2026-07-21T07:40:20-04:00,2026-07-20T15:36:20-04:00
trade,0.12,KXAAAGASD-26JUL21-4.025,no,0.5200,1.0000,0.000000,0.000000,0.057600,0.057600,2026-07-21T07:40:20-04:00,2026-07-20T14:03:32-04:00
trade,0.33,KXAAAGASD-26JUL21-4.030,yes,0.1900,0.0000,0.000000,0.000000,-0.062700,-0.062700,2026-07-21T07:40:20-04:00,2026-07-20T14:00:40-04:00
trade,8.00,KXTEMPAUSH-26JUL2123-T84.99,no,0.8700,0.8800,0.000000,0.000000,0.080000,0.080000,2026-07-21T22:29:24-04:00,2026-07-21T22:28:43-04:00
trade,13.00,KXTEMPAUSH-26JUL2123-T82.99,no,0.5500,0.5600,0.000000,0.000000,0.130000,0.130000,2026-07-21T22:29:28-04:00,2026-07-21T22:28:02-04:00
trade,10.00,KXTEMPCHIH-26JUL2123-T70.99,yes,0.7000,0.2300,0.000000,0.000000,-4.700000,-4.700000,2026-07-21T22:31:17-04:00,2026-07-21T22:28:18-04:00
trade,1.00,KXTEMPAUSH-26JUL2123-T83.99,no,0.7000,0.7100,0.000000,0.000000,0.010000,0.010000,2026-07-21T22:32:14-04:00,2026-07-21T22:27:42-04:00
trade,11.00,KXTEMPDCH-26JUL2123-T73.99,yes,0.6600,0.1500,0.000000,0.000000,-5.610000,-5.610000,2026-07-21T22:34:04-04:00,2026-07-21T22:27:17-04:00
trade,6.00,KXTEMPDCH-26JUL2123-T73.99,yes,0.3300,0.1500,0.000000,0.000000,-1.080000,-1.080000,2026-07-21T22:34:04-04:00,2026-07-21T22:29:53-04:00
trade,1.00,KXTEMPCHIH-26JUL2123-T69.99,no,0.1900,0.2000,0.000000,0.000000,0.010000,0.010000,2026-07-21T22:34:31-04:00,2026-07-21T22:27:36-04:00
trade,5.00,KXTEMPCHIH-26JUL2123-T69.99,no,0.1900,0.2000,0.000000,0.000000,0.050000,0.050000,2026-07-21T22:34:31-04:00,2026-07-21T22:30:30-04:00
trade,12.00,KXTEMPAUSH-26JUL2123-T84.99,yes,0.1200,0.0700,0.000000,0.000000,-0.600000,-0.600000,2026-07-21T22:35:09-04:00,2026-07-21T22:29:24-04:00
trade,7.00,KXAAAGASD-26JUL22-4.055,no,0.1300,0.1100,0.000000,0.000000,-0.140000,-0.140000,2026-07-21T23:33:49-04:00,2026-07-21T22:33:44-04:00
credit,0.00,,,0.0000,0.0000,0.000000,0.000000,1.140000,1.140000,2026-07-21T01:36:39-04:00,2026-07-21T01:36:39-04:00
credit,0.00,,,0.0000,0.0000,0.000000,0.000000,1.010000,1.010000,2026-07-21T01:36:39-04:00,2026-07-21T01:36:39-04:00
credit,0.00,,,0.0000,0.0000,0.000000,0.000000,1.730000,1.730000,2026-07-21T02:50:27-04:00,2026-07-21T02:50:27-04:00
credit,0.00,,,0.0000,0.0000,0.000000,0.000000,1.330000,1.330000,2026-07-21T02:50:27-04:00,2026-07-21T02:50:27-04:00
credit,0.00,,,0.0000,0.0000,0.000000,0.000000,7.390000,7.390000,2026-07-21T02:50:27-04:00,2026-07-21T02:50:27-04:00
credit,0.00,,,0.0000,0.0000,0.000000,0.000000,2.290000,2.290000,2026-07-21T02:50:27-04:00,2026-07-21T02:50:27-04:00
credit,0.00,,,0.0000,0.0000,0.000000,0.000000,3.740000,3.740000,2026-07-21T02:50:27-04:00,2026-07-21T02:50:27-04:00
trade,15.00,KXTEMPCHIH-26JUL2123-T69.99,no,0.1900,0.0000,0.000000,0.000000,-2.850000,-2.850000,2026-07-22T00:31:04-04:00,2026-07-21T22:33:18-04:00
trade,7.00,KXTEMPCHIH-26JUL2123-T70.99,yes,0.6500,0.0000,0.000000,0.000000,-4.550000,-4.550000,2026-07-22T00:31:04-04:00,2026-07-21T22:33:06-04:00
trade,1.00,KXTEMPCHIH-26JUL2123-T70.99,yes,0.6500,0.0000,0.000000,0.000000,-0.650000,-0.650000,2026-07-22T00:31:04-04:00,2026-07-21T22:33:08-04:00
trade,4.00,KXTEMPAUSH-26JUL2123-T82.99,yes,0.4400,0.0000,0.000000,0.000000,-1.760000,-1.760000,2026-07-22T00:31:04-04:00,2026-07-21T22:29:28-04:00
trade,0.05,KXTEMPAUSH-26JUL2123-T83.99,no,0.7000,1.0000,0.000000,0.000000,0.015000,0.015000,2026-07-22T00:31:04-04:00,2026-07-21T22:27:42-04:00
trade,2.88,KXTEMPAUSH-26JUL2123-T83.99,no,0.7000,1.0000,0.000000,0.000000,0.864000,0.864000,2026-07-22T00:31:04-04:00,2026-07-21T22:30:38-04:00
trade,0.50,KXTEMPAUSH-26JUL2123-T84.99,yes,0.0800,0.0000,0.000000,0.000000,-0.040000,-0.040000,2026-07-22T00:31:04-04:00,2026-07-21T22:33:15-04:00
trade,14.50,KXTEMPAUSH-26JUL2123-T84.99,yes,0.0800,0.0000,0.000000,0.000000,-1.160000,-1.160000,2026-07-22T00:31:04-04:00,2026-07-21T22:34:13-04:00
trade,8.00,KXTEMPDCH-26JUL2123-T72.99,yes,0.8500,1.0000,0.000000,0.000000,1.200000,1.200000,2026-07-22T00:31:04-04:00,2026-07-21T22:29:17-04:00
trade,14.00,KXTEMPDCH-26JUL2123-T73.99,yes,0.3300,1.0000,0.000000,0.000000,9.380000,9.380000,2026-07-22T00:31:04-04:00,2026-07-21T22:29:53-04:00
trade,8.00,KXTEMPDCH-26JUL2123-T73.99,yes,0.3000,1.0000,0.000000,0.000000,5.600000,5.600000,2026-07-22T00:31:04-04:00,2026-07-21T22:32:27-04:00
trade,16.00,KXAAAGASW-26JUL27-4.100,no,0.0900,0.0700,0.000000,0.000000,-0.320000,-0.320000,2026-07-22T04:34:00-04:00,2026-07-22T00:48:38-04:00
trade,4.00,KXAAAGASW-26JUL27-4.100,no,0.0900,0.1000,0.000000,0.000000,0.040000,0.040000,2026-07-22T04:39:40-04:00,2026-07-22T00:48:38-04:00
trade,1.00,KXTEMPCHIH-26JUL2206-T59.99,no,0.0500,0.0400,0.000000,0.000000,-0.010000,-0.010000,2026-07-22T05:34:58-04:00,2026-07-22T05:17:14-04:00
trade,3.83,KXTEMPCHIH-26JUL2206-T59.99,no,0.0500,0.0400,0.000000,0.000000,-0.038300,-0.038300,2026-07-22T05:35:02-04:00,2026-07-22T05:17:14-04:00
trade,5.00,KXTEMPCHIH-26JUL2206-T59.99,no,0.0500,0.0400,0.000000,0.000000,-0.050000,-0.050000,2026-07-22T05:35:02-04:00,2026-07-22T05:17:22-04:00
trade,3.00,KXTEMPCHIH-26JUL2206-T59.99,no,0.0500,0.0400,0.000000,0.000000,-0.030000,-0.030000,2026-07-22T05:35:02-04:00,2026-07-22T05:17:24-04:00
trade,2.17,KXTEMPCHIH-26JUL2206-T59.99,no,0.0500,0.0400,0.000000,0.000000,-0.021700,-0.021700,2026-07-22T05:35:02-04:00,2026-07-22T05:17:31-04:00
trade,2.02,KXTEMPAUSH-26JUL2207-T77.99,no,0.1500,0.1600,0.000000,0.000000,0.020200,0.020200,2026-07-22T06:04:54-04:00,2026-07-22T06:04:48-04:00
trade,5.00,KXTEMPAUSH-26JUL2207-T77.99,yes,0.8400,0.8200,0.000000,0.000000,-0.100000,-0.100000,2026-07-22T06:42:32-04:00,2026-07-22T06:04:54-04:00
trade,9.00,KXTEMPAUSH-26JUL2208-T75.99,yes,0.7800,0.7600,0.000000,0.000000,-0.180000,-0.180000,2026-07-22T07:11:36-04:00,2026-07-22T07:08:38-04:00
trade,9.00,KXTEMPAUSH-26JUL2208-T75.99,yes,0.7700,0.7600,0.000000,0.000000,-0.090000,-0.090000,2026-07-22T07:28:28-04:00,2026-07-22T07:17:28-04:00
trade,20.00,KXTEMPNYCH-26JUL2206-T69.99,no,0.1000,0.0000,0.000000,0.000000,-2.000000,-2.000000,2026-07-22T07:30:44-04:00,2026-07-22T05:05:16-04:00
trade,20.00,KXTEMPCHIH-26JUL2206-T58.99,no,0.0700,0.0000,0.000000,0.000000,-1.400000,-1.400000,2026-07-22T07:30:44-04:00,2026-07-22T05:05:21-04:00
trade,2.00,KXTEMPCHIH-26JUL2206-T59.99,no,0.0500,0.0000,0.000000,0.000000,-0.100000,-0.100000,2026-07-22T07:30:44-04:00,2026-07-22T05:17:31-04:00
trade,20.00,KXTEMPDCH-26JUL2206-T71.99,no,0.0500,0.0000,0.000000,0.000000,-1.000000,-1.000000,2026-07-22T07:30:54-04:00,2026-07-22T05:12:03-04:00
trade,0.08,KXAAAGASD-26JUL22-4.055,no,0.1300,0.0000,0.000000,0.000000,-0.010400,-0.010400,2026-07-22T08:05:44-04:00,2026-07-21T22:33:44-04:00
trade,0.98,KXTEMPAUSH-26JUL2207-T77.99,yes,0.8400,0.0000,0.000000,0.000000,-0.823200,-0.823200,2026-07-22T08:30:54-04:00,2026-07-22T06:04:54-04:00
trade,20.00,KXTEMPCHIH-26JUL2207-T59.99,no,0.1400,0.0000,0.000000,0.000000,-2.800000,-2.800000,2026-07-22T08:30:54-04:00,2026-07-22T06:04:08-04:00
trade,20.00,KXTEMPCHIH-26JUL2208-T59.99,no,0.1100,0.0000,0.000000,0.000000,-2.200000,-2.200000,2026-07-22T09:31:14-04:00,2026-07-22T07:10:27-04:00
trade,10.00,KXTEMPNYCH-26JUL2211-T78.99,no,0.3900,0.4000,0.000000,0.000000,0.100000,0.100000,2026-07-22T10:04:32-04:00,2026-07-22T10:03:35-04:00
trade,2.00,KXTEMPNYCH-26JUL2211-T78.99,no,0.3900,0.4000,0.000000,0.000000,0.020000,0.020000,2026-07-22T10:04:41-04:00,2026-07-22T10:03:35-04:00
trade,1.29,KXAAAGASW-26JUL27-4.120,yes,0.8600,0.8400,0.000000,0.000000,-0.025800,-0.025800,2026-07-22T10:16:36-04:00,2026-07-22T09:46:23-04:00
trade,16.00,KXTEMPLAXH-26JUL2211-T69.99,no,0.1200,0.1000,0.000000,0.000000,-0.320000,-0.320000,2026-07-22T10:17:00-04:00,2026-07-22T10:04:12-04:00
trade,7.00,KXTEMPNYCH-26JUL2211-T78.99,no,0.3900,0.3700,0.000000,0.000000,-0.140000,-0.140000,2026-07-22T10:19:01-04:00,2026-07-22T10:03:35-04:00
trade,4.00,KXTEMPLAXH-26JUL2211-T69.99,no,0.1200,0.1800,0.000000,0.000000,0.240000,0.240000,2026-07-22T10:25:49-04:00,2026-07-22T10:04:12-04:00
trade,1.00,KXTEMPLAXH-26JUL2211-T69.99,no,0.1800,0.1800,0.000000,0.000000,0.000000,0.000000,2026-07-22T10:25:49-04:00,2026-07-22T10:23:36-04:00
trade,13.00,KXTEMPLAXH-26JUL2211-T69.99,no,0.1800,0.1800,0.000000,0.000000,0.000000,0.000000,2026-07-22T10:26:13-04:00,2026-07-22T10:23:36-04:00
trade,6.00,KXTEMPLAXH-26JUL2211-T69.99,no,0.1800,0.1800,0.000000,0.000000,0.000000,0.000000,2026-07-22T10:32:36-04:00,2026-07-22T10:23:36-04:00
